name,year,km_driven,fuel,seller_type,transmission,owner,selling_price
Maruti 800 AC,2007,70000,Petrol,Individual,Manual,First Owner,60630.0
Maruti Wagon R LXI Minor,2007,50000,Petrol,Individual,Manual,First Owner,133600.0
Hyundai Verna 1.6 SX,2012,100000,Diesel,Individual,Manual,First Owner,425300.0
Datsun RediGO T Option,2017,46000,Petrol,Individual,Manual,First Owner,249200.0
Honda Amaze VX i-DTEC,2014,141000,Diesel,Individual,Manual,Second Owner,457310.0
Maruti Alto LX BSIII,2007,125000,Petrol,Individual,Manual,First Owner,123160.0
Hyundai Xcent 1.2 Kappa S,2016,25000,Petrol,Individual,Manual,First Owner,543900.0
Tata Indigo Grand Petrol,2014,60000,Petrol,Individual,Manual,Second Owner,241300.0
Hyundai Creta 1.6 VTVT S,2015,25000,Petrol,Individual,Manual,First Owner,832300.0
Maruti Celerio Green VXI,2017,78000,CNG,Individual,Manual,First Owner,386600.0
Chevrolet Sail 1.2 Base,2015,35000,Petrol,Individual,Manual,First Owner,268500.0
Tata Indigo Grand Petrol,2014,100000,Petrol,Individual,Manual,First Owner,256129.99
Toyota Corolla Altis 1.8 VL CVT,2018,25000,Petrol,Dealer,Automatic,First Owner,1615250.0
Maruti 800 AC,2007,70000,Petrol,Individual,Manual,First Owner,60630.0
Maruti Wagon R LXI Minor,2007,50000,Petrol,Individual,Manual,First Owner,133600.0
Hyundai Verna 1.6 SX,2012,100000,Diesel,Individual,Manual,First Owner,425300.0
Datsun RediGO T Option,2017,46000,Petrol,Individual,Manual,First Owner,249200.0
Honda Amaze VX i-DTEC,2014,141000,Diesel,Individual,Manual,Second Owner,457310.0
Maruti Alto LX BSIII,2007,125000,Petrol,Individual,Manual,First Owner,123160.0
Hyundai Xcent 1.2 Kappa S,2016,25000,Petrol,Individual,Manual,First Owner,543900.0
Tata Indigo Grand Petrol,2014,60000,Petrol,Individual,Manual,Second Owner,241300.0
Hyundai Creta 1.6 VTVT S,2015,25000,Petrol,Individual,Manual,First Owner,832300.0
Maruti Celerio Green VXI,2017,78000,CNG,Individual,Manual,First Owner,386600.0
Chevrolet Sail 1.2 Base,2015,35000,Petrol,Individual,Manual,First Owner,268500.0
Tata Indigo Grand Petrol,2014,100000,Petrol,Individual,Manual,First Owner,256129.99
Toyota Corolla Altis 1.8 VL CVT,2018,25000,Petrol,Dealer,Automatic,First Owner,1615250.0
Maruti Ciaz VXi Plus,2015,24000,Petrol,Dealer,Manual,First Owner,562929.94
Hyundai Venue SX Opt Diesel,2019,5000,Diesel,Dealer,Manual,First Owner,1007600.0
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,33000,Diesel,Individual,Manual,Second Owner,369339.99
Jaguar XF 2.2 Litre Luxury,2014,28000,Diesel,Dealer,Automatic,First Owner,1921739.36
Mercedes-Benz New C-Class 220 CDI AT,2013,59000,Diesel,Dealer,Automatic,First Owner,1601560.0
Maruti Vitara Brezza ZDi Plus AMT,2018,4500,Diesel,Dealer,Automatic,First Owner,2458250.0
Audi Q5 2.0 TDI,2011,175900,Diesel,Dealer,Automatic,First Owner,1284350.0
Honda City V MT,2018,14500,Petrol,Dealer,Manual,First Owner,851299.98
Tata Tigor 1.2 Revotron XT,2018,15000,Petrol,Individual,Manual,First Owner,516689.9
Audi A6 2.0 TDI  Design Edition,2013,50000,Diesel,Dealer,Automatic,First Owner,1749980.0
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,33800,Diesel,Dealer,Automatic,Second Owner,1443110.0
Skoda Superb Ambition 2.0 TDI CR AT,2011,130400,Diesel,Dealer,Automatic,Second Owner,558370.0
Toyota Corolla Altis G AT,2016,50000,Petrol,Individual,Automatic,First Owner,1225290.0
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,80000,Diesel,Individual,Manual,First Owner,1183630.0
Jeep Compass 1.4 Sport Plus BSIV,2019,10000,Petrol,Individual,Manual,First Owner,1039149.96
Mercedes-Benz E-Class E 200 CGI Elegance,2010,119000,Petrol,Dealer,Automatic,First Owner,926169.99
Hyundai i10 Magna 1.1L,2014,60000,Petrol,Individual,Manual,Fourth & Above Owner,311299.8
BMW 3 Series 320d Sport Line,2013,75800,Diesel,Dealer,Automatic,Second Owner,1535060.0
Audi Q7 35 TDI Quattro Premium,2009,78000,Diesel,Dealer,Automatic,Third Owner,1183950.0
Hyundai Elantra CRDi S,2012,40000,Diesel,Individual,Manual,First Owner,488639.89
Mahindra Scorpio 1.99 S10,2014,50000,Diesel,Individual,Manual,First Owner,833189.99
Honda City i DTEC V,2014,74000,Diesel,Individual,Manual,Second Owner,560950.0
Maruti Wagon R VXI BS IV with ABS,2014,64000,Petrol,Individual,Manual,Second Owner,267579.98
Maruti Wagon R VXI BS IV,2012,60000,Petrol,Individual,Manual,Second Owner,254029.88
Mahindra Scorpio LX,2009,120000,Diesel,Individual,Manual,Second Owner,398649.94
Hyundai Santro Xing GLS,2009,79000,Petrol,Individual,Manual,Third Owner,153249.95
Hyundai Grand i10 1.2 Kappa Asta,2019,15000,Petrol,Individual,Manual,First Owner,521110.0
Maruti Alto LXi,2006,80000,Petrol,Individual,Manual,First Owner,98580.0
Maruti Swift Dzire VDI Optional,2017,18500,Diesel,Dealer,Manual,First Owner,705299.92
Maruti Eeco 5 Seater AC BSIV,2018,10200,Petrol,Dealer,Manual,First Owner,421289.91
Hyundai i20 Sportz 1.4 CRDi,2018,29000,Diesel,Dealer,Manual,First Owner,875550.0
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,28000,Petrol,Dealer,Manual,First Owner,300679.99
Maruti Swift ZDi BSIV,2016,46000,Diesel,Dealer,Manual,First Owner,676919.98
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,70000,Diesel,Dealer,Manual,First Owner,496649.91
Maruti Alto LXi,2012,60000,Petrol,Individual,Manual,Second Owner,184249.99
Mahindra Jeep CL 500 MDI,1996,35000,Diesel,Individual,Manual,Second Owner,215300.0
Honda City i DTEC VX,2014,90000,Diesel,Dealer,Manual,First Owner,651200.0
Maruti Wagon R VXI BS IV,2013,80000,Petrol,Dealer,Manual,First Owner,292379.99
Tata Indica DLS,2005,80000,Diesel,Individual,Manual,First Owner,92020.0
Hyundai EON Magna Plus,2014,73300,Petrol,Dealer,Manual,Second Owner,252899.99
Toyota Etios GD,2014,92000,Diesel,Dealer,Manual,First Owner,518739.86
Maruti Alto LXi,2009,66764,Petrol,Dealer,Manual,Second Owner,152060.0
Maruti Alto LXi,2009,100000,Petrol,Individual,Manual,First Owner,137739.97
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,350000,Diesel,Individual,Manual,Second Owner,273160.0
Toyota Corolla Altis Diesel D4DG,2011,230000,Diesel,Individual,Manual,First Owner,485449.99
Mahindra Scorpio 1.99 S6 Plus,2017,60000,Diesel,Individual,Manual,First Owner,589489.83
Hyundai EON Magna Plus,2018,31000,Petrol,Individual,Manual,First Owner,290311.63316666667
Tata Indigo Classic Dicor,2007,39000,Diesel,Individual,Manual,First Owner,106970.0
Toyota Innova 2.5 V Diesel 8-seater,2009,120000,Diesel,Individual,Manual,Third Owner,479100.0
Tata Indica Vista Quadrajet LS,2014,166000,Diesel,Individual,Manual,Fourth & Above Owner,178810.0
Maruti Swift 1.3 VXi,2006,110000,Petrol,Individual,Manual,Third Owner,116020.0
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,35000,Diesel,Individual,Manual,First Owner,793950.0
Maruti Ciaz 1.3 Delta,2018,60000,Diesel,Individual,Manual,First Owner,780020.0
Honda Civic 1.8 V AT,2007,54000,Petrol,Individual,Automatic,Second Owner,418290.0
Hyundai i10 Sportz 1.2,2010,63000,Petrol,Individual,Manual,Second Owner,201999.99
Skoda Rapid 1.5 TDI Elegance,2014,120000,Diesel,Individual,Manual,Second Owner,436400.0
Hyundai Getz GLS,2005,120000,Petrol,Individual,Manual,Third Owner,106660.0
Nissan Terrano XL,2014,76000,Petrol,Individual,Manual,Second Owner,506299.99
Hyundai Grand i10 CRDi Sportz,2015,80000,Diesel,Individual,Manual,First Owner,388050.0
Hyundai Elite i20 Diesel Era,2019,25000,Diesel,Individual,Manual,First Owner,817749.95
Honda Amaze S i-VTEC,2016,11958,Petrol,Dealer,Manual,First Owner,504319.99
Honda Brio S MT,2015,20000,Petrol,Dealer,Manual,First Owner,395190.0
Hyundai Creta 1.6 SX Option,2017,9000,Petrol,Dealer,Manual,First Owner,982150.0
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,6500,Diesel,Dealer,Automatic,First Owner,6200190.0
Mahindra XUV500 W8 2WD,2015,70000,Diesel,Individual,Manual,First Owner,781220.0
Renault Duster 85PS Diesel RxL Optional,2013,120000,Diesel,Individual,Manual,First Owner,581709.994
Hyundai Santro Xing XO,2007,58000,Petrol,Dealer,Manual,Second Owner,99900.0
Mahindra Bolero 2011-2019 SLE,2013,62200,Diesel,Dealer,Manual,First Owner,379599.96
Audi A6 2.0 TDI Premium Plus,2014,34000,Diesel,Dealer,Automatic,Second Owner,1512769.99
Fiat Avventura MULTIJET Emotion,2015,53000,Diesel,Individual,Manual,Second Owner,362020.0
Audi A8 4.2 TDI,2013,49000,Diesel,Dealer,Automatic,First Owner,2606740.0
Datsun RediGO 1.0 S,2017,15000,Petrol,Dealer,Manual,Second Owner,230400.0
Volkswagen Jetta 1.4 TSI Comfortline,2013,50000,Petrol,Individual,Manual,First Owner,408259.96
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,53000,Diesel,Dealer,Automatic,First Owner,1374450.0
Honda Civic 1.8 V AT,2009,63500,Petrol,Dealer,Automatic,First Owner,312229.98
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,9800,Petrol,Dealer,Automatic,First Owner,3825860.0
BMW X1 sDrive 20d xLine,2017,13000,Diesel,Individual,Automatic,First Owner,2841000.0
Volvo V40 D3 R Design,2018,21000,Diesel,Dealer,Automatic,First Owner,2386780.0
Maruti SX4 Zxi BSIII,2008,29173,Petrol,Dealer,Manual,First Owner,182979.97
BMW 7 Series 730Ld,2012,48000,Diesel,Dealer,Automatic,First Owner,2183670.0
Mahindra Bolero Power Plus SLX,2017,120000,Diesel,Individual,Manual,First Owner,627910.0
Hyundai Sonata CRDi M/T,2010,100000,Diesel,Individual,Manual,First Owner,261309.97
Nissan Micra Active XV Petrol,2017,30000,Petrol,Individual,Manual,First Owner,401929.98
Mahindra Xylo D4,2018,87000,Diesel,Individual,Manual,First Owner,761650.0
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,15000,Petrol,Individual,Manual,First Owner,687660.0
Renault KWID RXT,2017,16000,Petrol,Individual,Manual,First Owner,318849.99
Mahindra Xylo E4 BS III,2012,60000,Diesel,Individual,Manual,First Owner,526249.97
Maruti Wagon R LXI Minor,2010,60000,Petrol,Individual,Manual,Fourth & Above Owner,140800.0
Maruti SX4 ZXI MT BSIV,2011,110000,Petrol,Individual,Manual,Third Owner,237980.0
Renault KWID RXT,2017,25000,Petrol,Individual,Manual,First Owner,346090.0
Hyundai Creta 1.4 CRDi S,2016,60000,Diesel,Individual,Manual,First Owner,738169.99
Maruti Swift Dzire VDI,2014,79350,Diesel,Individual,Manual,Second Owner,432959.99
Hyundai Verna 1.6 VTVT AT S Option,2016,80000,Petrol,Individual,Automatic,First Owner,698469.99
Mahindra Scorpio LX BSIV,2014,90000,Diesel,Individual,Manual,Second Owner,550049.99
Maruti SX4 Vxi BSIII,2007,90000,Petrol,Individual,Manual,Second Owner,112723.33333333334
Maruti Ertiga VDI,2014,120000,Diesel,Individual,Manual,Second Owner,492600.0
Chevrolet Beat Diesel,2013,60000,Diesel,Individual,Manual,Second Owner,167240.0
Maruti Zen LX,2004,50000,Petrol,Individual,Manual,First Owner,94790.0
Maruti Baleno Delta 1.2,2018,20000,Petrol,Individual,Manual,First Owner,553939.99
Maruti Swift Vdi BSIII,2007,110000,Diesel,Individual,Manual,Fourth & Above Owner,120760.0
Tata Nano Lx BSIV,2012,50000,Petrol,Individual,Manual,Second Owner,103919.98
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,100000,Diesel,Individual,Manual,First Owner,518890.0
Maruti Ertiga SHVS VDI,2016,70000,Diesel,Individual,Manual,Second Owner,770180.0
Hyundai Creta 1.6 CRDi SX,2016,70000,Diesel,Individual,Manual,Second Owner,822000.0
Honda Amaze S i-Vtech,2016,50000,Petrol,Individual,Manual,First Owner,472599.99
Tata Indica Vista Aqua 1.4 TDI,2010,81000,Diesel,Individual,Manual,Second Owner,126490.0
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,120000,Diesel,Individual,Manual,Third Owner,336910.0
Chevrolet Cruze LTZ,2015,3600,Diesel,Dealer,Manual,First Owner,818680.0
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,14272,Petrol,Dealer,Manual,First Owner,529780.0
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,49213,Diesel,Dealer,Manual,First Owner,818950.0
Hyundai i10 Sportz 1.1L,2015,40000,Petrol,Individual,Manual,First Owner,241599.14
Maruti 800 Std,1998,40000,Petrol,Individual,Manual,Fourth & Above Owner,48280.0
Chevrolet Spark 1.0 LS,2012,80000,Petrol,Individual,Manual,First Owner,136036.92
Hyundai EON Era Plus,2015,70000,Petrol,Individual,Manual,First Owner,206499.98
Tata Indica Vista Aqua TDI BSIII,2011,70000,Diesel,Individual,Manual,First Owner,123290.0
Hyundai Santro LP zipPlus,2003,57000,Petrol,Individual,Manual,First Owner,81630.0
Tata Bolt Quadrajet XE,2016,120000,Diesel,Individual,Manual,First Owner,380549.96
Maruti 800 AC BSIII,2005,30000,Petrol,Individual,Manual,First Owner,99170.0
Hyundai EON Era Plus,2013,3240,Petrol,Individual,Manual,Second Owner,268251.96
Hyundai i20 Magna 1.2,2015,5000,Petrol,Individual,Manual,First Owner,567900.0
Hyundai i20 1.2 Asta,2018,10000,Petrol,Individual,Manual,First Owner,686700.0
Maruti Ciaz VDi Plus,2015,100000,Diesel,Individual,Manual,First Owner,524439.95
Hyundai i20 Asta 1.4 CRDi,2016,80000,Diesel,Individual,Manual,First Owner,499069.98
Hyundai Santro LE,2002,70000,Petrol,Individual,Manual,First Owner,70610.0
Maruti Vitara Brezza VDi,2018,35000,Diesel,Individual,Manual,First Owner,781800.0
Hyundai Santro Xing XL eRLX Euro III,2007,114000,Petrol,Individual,Manual,Second Owner,82849.98
Hyundai Getz 1.3 GLS,2008,53772,Petrol,Individual,Manual,First Owner,194600.0
Mahindra Quanto C8,2012,140000,Diesel,Individual,Manual,Second Owner,227050.0
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,120000,Diesel,Individual,Manual,First Owner,369080.0
Hyundai EON Magna Plus,2012,60000,Petrol,Individual,Manual,First Owner,170549.98
Renault KWID RXT,2016,25000,Petrol,Individual,Manual,First Owner,285599.99
Maruti Wagon R DUO LPG,2014,90000,LPG,Individual,Manual,First Owner,255539.97
Maruti Wagon R LXI,2020,120000,Petrol,Individual,Manual,First Owner,411940.0
Chevrolet Enjoy 1.3 TCDi LS 8,2015,175000,Diesel,Individual,Manual,First Owner,328920.0
Chevrolet Spark 1.0 LS,2011,100000,Petrol,Individual,Manual,Third Owner,112543.83
Honda City i VTEC SV,2014,36000,Petrol,Individual,Manual,First Owner,560849.99
Honda Amaze VX i-DTEC,2013,30000,Diesel,Individual,Manual,First Owner,465379.93
Jaguar XJ 5.0 L V8 Supercharged,2010,40000,Petrol,Individual,Automatic,Second Owner,1764549.99
Honda Brio E MT,2013,70000,Petrol,Individual,Manual,Second Owner,276180.0
Maruti Swift VVT ZXI,2017,60000,Petrol,Individual,Manual,First Owner,513530.0
Tata Indigo CR4,2011,155500,Diesel,Individual,Manual,First Owner,144500.0
Hyundai i10 Asta AT,2011,50000,Petrol,Individual,Automatic,Second Owner,510389.99
Chevrolet Beat LT,2016,40000,Petrol,Individual,Manual,First Owner,295059.99
Maruti Swift VDI BSIV,2015,100000,Diesel,Individual,Manual,Third Owner,421009.91
Maruti Alto LXi,2012,80000,Petrol,Individual,Manual,Third Owner,198349.97
Chevrolet Beat LT,2011,90000,Petrol,Individual,Manual,Second Owner,144996.81
Renault Duster 110PS Diesel RxZ,2013,90000,Diesel,Individual,Manual,Second Owner,353579.1175
Hyundai Santro Xing XG,2006,110000,Petrol,Individual,Manual,Third Owner,74520.0
Maruti Swift Dzire ZXI Plus,2019,15000,Petrol,Individual,Manual,First Owner,731500.0
Maruti 800 AC,2007,100000,Petrol,Individual,Manual,Second Owner,91049.99999999999
Maruti Alto K10 LXI CNG,2020,40000,CNG,Individual,Manual,First Owner,477500.0
Maruti 800 Std BSII,2004,60000,Petrol,Individual,Manual,Second Owner,69080.0
Tata Nano LX SE,2013,25000,Petrol,Individual,Manual,First Owner,68688.0
Hyundai i20 Magna 1.2,2016,25000,Petrol,Individual,Manual,First Owner,573700.0
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,23000,Petrol,Individual,Manual,First Owner,588100.0
Maruti Alto K10 VXI,2018,22155,Petrol,Individual,Manual,First Owner,367939.93
Maruti Ciaz 1.4 Delta,2018,70000,Petrol,Individual,Manual,First Owner,683680.0
Maruti Alto LX,2009,60000,Petrol,Individual,Manual,Second Owner,150850.0
Hyundai i20 Asta,2009,110000,Petrol,Individual,Manual,Second Owner,243779.97
Tata Nexon 1.2 Revotron XM,2018,30000,Petrol,Individual,Manual,First Owner,499049.99
Mahindra Bolero Power Plus SLX,2019,15000,Diesel,Individual,Manual,First Owner,848820.0
Maruti Zen D,2003,100000,Diesel,Individual,Manual,Second Owner,95600.0
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,70000,Diesel,Individual,Automatic,First Owner,819829.98
Maruti Eeco 7 Seater Standard BSIV,2017,24000,Petrol,Individual,Manual,First Owner,356100.0
Honda City 1.5 EXI,2005,120000,Petrol,Individual,Manual,Second Owner,101250.0
Mercedes-Benz New C-Class 220 CDI AT,2013,35000,Diesel,Individual,Automatic,First Owner,1711010.0
Maruti SX4 Zxi with Leather BSIII,2007,78380,Petrol,Individual,Manual,First Owner,108710.0
Renault Duster 110PS Diesel RxZ,2012,110000,Diesel,Individual,Manual,Second Owner,393788.71150000003
Ford Figo Diesel Titanium,2010,90000,Diesel,Individual,Manual,Third Owner,155990.0
Ford Figo Diesel Titanium,2011,90000,Diesel,Individual,Manual,Third Owner,232866.66666666672
Maruti Swift Dzire VDi,2009,150000,Diesel,Individual,Manual,Third Owner,257450.0
Mahindra Xylo E4,2009,230000,Diesel,Individual,Manual,Third Owner,237709.4
Maruti Esteem Vxi - BSIII,2006,70000,Petrol,Individual,Manual,Third Owner,129640.0
Maruti Swift VDI BSIV,2017,80362,Diesel,Individual,Manual,First Owner,593899.99
Hyundai i20 1.2 Sportz,2012,110000,Petrol,Individual,Manual,Third Owner,280750.0
Chevrolet Beat Diesel LT,2012,60000,Diesel,Individual,Manual,First Owner,158960.0
Chevrolet Cruze LTZ AT,2015,50000,Diesel,Individual,Automatic,First Owner,798525.0
Nissan Micra XL,2014,40000,Petrol,Individual,Manual,Second Owner,233309.98
BMW 5 Series 520d Luxury Line,2017,40000,Diesel,Individual,Automatic,First Owner,2910875.0
Chevrolet Enjoy 1.3 TCDi LS 8,2013,20000,Diesel,Dealer,Manual,First Owner,412060.0
Hyundai EON Era Plus Option,2014,55000,Petrol,Dealer,Manual,First Owner,261849.97
Fiat Linea T Jet Emotion,2018,1136,Petrol,Dealer,Manual,First Owner,869819.88
Renault Scala RxL,2013,55000,Petrol,Dealer,Manual,First Owner,348110.0
Ford Figo Petrol Titanium,2014,43000,Petrol,Dealer,Manual,First Owner,344229.93
Maruti Ciaz ZDi SHVS,2016,60000,Diesel,Individual,Manual,First Owner,697480.0
Skoda Rapid 1.5 TDI Ambition BSIV,2018,2650,Diesel,Dealer,Manual,First Owner,930240.0
Mahindra XUV500 W6 2WD,2017,40000,Diesel,Individual,Manual,First Owner,958139.98
Mahindra XUV300 W8 Option,2019,15000,Petrol,Dealer,Manual,First Owner,357770.0
Maruti Ertiga SHVS ZDI,2016,115962,Diesel,Individual,Manual,Second Owner,488710.0
Nissan Terrano XE D,2015,65000,Diesel,Dealer,Manual,First Owner,508179.95
Maruti S-Cross Facelift,2017,40000,Diesel,Individual,Manual,First Owner,775180.0
